  ДанныеСтудента  |             СданныйПредмет              
------------------+-----------------------------------------
 Овсянников Луций | Математика
 Астахов Канат    | Математика
 Кукушкин Абид    | Математика
 Фокин Анри       | Математика
 Овсянников Луций | Основы компьютерной техники
 Астахов Канат    | Основы компьютерной техники
 Кукушкин Абид    | Основы компьютерной техники
 Фокин Анри       | Основы компьютерной техники
 Овсянников Луций | Интегрированный модуль Философия
 Астахов Канат    | Интегрированный модуль Философия
 Кукушкин Абид    | Интегрированный модуль Философия
 Фокин Анри       | Интегрированный модуль Философия
 Овсянников Луций | Основы автоматизации и программирования
 Астахов Канат    | Основы автоматизации и программирования
 Кукушкин Абид    | Основы автоматизации и программирования
 Фокин Анри       | Основы автоматизации и программирования
 Овсянников Луций | Безопасность жизнедеятельности человека
 Астахов Канат    | Безопасность жизнедеятельности человека
 Кукушкин Абид    | Безопасность жизнедеятельности человека
 Фокин Анри       | Безопасность жизнедеятельности человека
(20 rows)
